userName,score,at,content,pelabelan 3 kelas, 
Rat Now,5,2022-11-05 16:25:58,bagus,positif,
Anggi Kusnadi,5,2022-11-05 16:25:20,kenapa dana ini,netral,
Rizky Martin Firdiyan,1,2022-11-05 16:22:13,Kenapa gabisa di update? Tolong perbaiki,negatif,
Yandri Yan,5,2022-11-05 16:21:16,Hilang sudah kepercayaan sama ini aplikasi. 950rb ilang setelah bertahun-tahun pakai ini aplikasi langsung dong jelek gw ksh rating,negatif,
febri Arma,5,2022-11-05 16:16:36,pertama kali ini pake dana,netral,
Guns Cell,5,2022-11-05 16:16:05,Mantap banget pakek Dana segala urusan transfer dan isi pulsa jadi lebih mudah dan gampang 👍,positif,
Darwin Delonge,4,2022-11-05 16:15:32,Sangat bagus,positif,
Velaya,4,2022-11-05 16:14:54,Udah dua kali upgrade ke dana premium awalnya berhasil terus beberapa hari kemudian diturunin lagi. Ditanya masalahnya apa tapi CS kayak nggak kerja.,negatif,
Deri Ansyah,5,2022-11-05 16:13:27,semoga membantu,netral,
Samsul Alam,5,2022-11-05 16:09:16,apk mantap tpi tolong di tambah lagi gratis pengiriman ke bank,positif,
Niaa Kurniati,5,2022-11-05 16:06:07,sangat bagus,positif,
Iwan Coy,4,2022-11-05 16:04:03,coba dulu ah,netral,
Galih Pratama,4,2022-11-05 16:03:18,keren app dana ini,positif,
Ujang Purnama,5,2022-11-05 16:02:38,dana aplikasi paling keren dana cepat kirim dan transaki cuma hitung detik langsung cair,positif,
Briyan Widiyanto,1,2022-11-05 16:02:02,Aq kasih bintang 1dulu karena slalu d suruh upgrade dan harus foto KTP setiap mau kirim dana. tolong perbaiki biar banyak penggunanya,negatif,
Bang Kotel,5,2022-11-05 16:01:32,ok,netral,
Yayan Sopian,5,2022-11-05 15:59:49,Sangat buruk. saya sebagai pengguna e-wallet dana kecewa karna dipersulit saat ingin diupgrade ke dana premium. mohon diperbaiki aplikasinya,negatif,
Cahyo,1,2022-11-05 15:58:54,Sering eror laporan tidak pernah dibantu,negatif,
GINDO HARAHAP,4,2022-11-05 15:55:25,mantaf lah...,positif,
Sawar Dinata,4,2022-11-05 15:54:57,Apk nya bagus merasa terbantu,positif,
Aldo Kph,5,2022-11-05 15:54:40,mantulll ( mantap betull ),positif,
yusupsupian,5,2022-11-05 15:53:49,Menbantuk saya segala hal,positif,
Maya Sari,3,2022-11-05 15:52:58,bagus,positif,
Boni Parma,5,2022-11-05 15:51:48,sangat memuaskan,positif,
AHMAD HAMDANI,5,2022-11-05 15:49:32,Saya sudah beberapa kali melakukan pengajuan pengembalian dana tapi tidak pernah acc,negatif,
Sawar Dinata,5,2022-11-05 15:48:43,Merasa terbantu sekali pas transaksi apapun,positif,
Tri Tri,5,2022-11-05 15:47:02,Sangat praktis,positif,
Edo Jukarim,5,2022-11-05 15:46:02,Applika dana ini sangat memuaskan bisa menabung uang tanpa biaya,positif,
Ktt Project,1,2022-11-05 15:45:53,saya sangat kecewa transaki saya di tanggal 14 oktober 2022 di jam 10.50 sampai sekarang tanggal 5 november 2022 belum sama sekali ada kejelasan terkait transaksi yang saya keluhkan saya chat ke admin tidak ada respon.,negatif,
Apri Yadi,5,2022-11-05 15:45:53,Bagus sekali,positif,
Putri Azza,1,2022-11-05 15:43:15,Nggak bisa ditransfer,negatif,
channel aqua,2,2022-11-05 15:42:39,agak lelet,negatif,
didik riyadi,5,2022-11-05 15:42:08,sangat membantu,positif,
Sabar Islamic99,3,2022-11-05 15:40:00,puas,positif,
Muhammad salman Salman,5,2022-11-05 15:37:50,aplikasi sangat membantu saya,positif,
Bibin Juniansyah,5,2022-11-05 15:37:02,Saya suka,positif,
Kamal pratama,5,2022-11-05 15:36:50,bagus,positif,
Ujang Reny88,4,2022-11-05 15:34:09,mantap banget,positif,
Nasun Achun,5,2022-11-05 15:33:16,sangat membantu saya.... terima kasih😘🙏,positif,
Badri Fajar,5,2022-11-05 15:32:11,mudah mudahan bermanfaat,positif,
Hadi Rama,5,2022-11-05 15:32:05,mantap,positif,
Mhelantania abi ami dan naila,1,2022-11-05 15:30:42,Sudah lama memakai aplikasi ini..baru sekarang saya top up tapi saldonya ngak masuk ada apa neh dengan DANA gara events yg ngk jelas malah rusak semuanya 😖😖,negatif,
Wulan Sari,1,2022-11-05 15:29:58,Pas belum di isi saldo masih aman setelah ada saldo nya mau ngirim bolak balik keluar terus tolong dong min.,netral,
Maini Marsun,5,2022-11-05 15:27:58,Terkasih,positif,
Andy Rolas,3,2022-11-05 15:27:21,say a ksih 3 dulu ok,positif,
Vania Fahra aulia01,5,2022-11-05 15:27:20,bagus,positif,
tony tony,5,2022-11-05 15:27:10,okeehh,positif,
abdie purnakurniawan,5,2022-11-05 15:26:57,dana sangat terpercaya dan sangat puas,positif,
Astuti Herwan,5,2022-11-05 15:26:51,apa salah saya? kenapa tak bisa membuka menu riwayat,negatif,
Zakharia Parera,1,2022-11-05 15:26:17,Di android 6 setelah update dari playstore malah terdeteksi aplikasi tidak resmi mohon dibantu,negatif,
Anom Gavinci,1,2022-11-05 15:26:05,Kenapa selalu sibuk di setiap mau transfer padahal sinyal bagus,negatif,
Octa 2610,5,2022-11-05 15:25:12,mantap ini aplikasi,positif,
Erwin Blus,4,2022-11-05 15:24:24,Mantap bagus apk nya,positif,
Febri Gilang Ramadan,1,2022-11-05 15:24:21,Apa2n duit langsung motong blok buat apa gua bikin pin,negatif,
IMAM ROFI'IE,5,2022-11-05 15:21:36,selagi gak ada bunga DANA masih is the bes wkwkwkw,positif,
Az Zaid,1,2022-11-05 15:21:16,Afrikasi yg terbaik,positif,
Alliando Halim,1,2022-11-05 15:20:20,NYESEL SAYA PAKAI DANA Saya bermain goama game saya dapat 50.000 tapi kenapa kok tidak bisa diambil sedangkan poin dana saya berkurang ngadain event kok nggk jelas baru ratusan orang yg main sudah koid dana poin sudah habis dapat 50.000 nggk bisa di ambil malah di buat error SCAMM EVENT PENIPUAN Lebih Bagus E-Wallet Sebelah tiap transaksi ada Cashback  Aplikasi DANA MENGECEWAKAN. UNNISTALL saja,negatif,
Deni Sahrudin,5,2022-11-05 15:20:16,Sangat terpercaya,positif,
Auval Mario,5,2022-11-05 15:19:12,Untuk pihak Dana kenapa akun dana saya atas nama orang lain ya? jadi saya tidak bisa login akun dana saya,negatif,
Dewi Astrini,1,2022-11-05 15:18:29,selalu sistem sedang sibuk setiap kali transfer,negatif,
Miftahul Azhar,1,2022-11-05 15:17:58,Kok saya keblok tapi ga bisa di buka tolong di bantu di buka min,negatif,
Riki. Kusumah18,3,2022-11-05 15:15:37,Bagai mana aktifin lg no dana yg no nya hilang mohon pencerahan nya dong. Padahal udh di kait kan sama akun gmail,netral,
Wulan Permata sari,1,2022-11-05 15:14:00,Dana versi terbaru semakin mengecewakan lemotnya minta ampun. Tolong dong diperbaiki. Sangat sangat mengecewakan dan tidak recomended banget,negatif,
Music Musisinya,5,2022-11-05 15:12:30,Keren Sekali,positif,
Sugiyono Yono,5,2022-11-05 15:12:22,Ok sangat membantu,positif,
Yoko Sugianto,5,2022-11-05 15:07:39,sangat membantu transaksi,positif,
Muhammad Rahmat,5,2022-11-05 15:07:21,sangat membantu,positif,
Muhamad Taufiq,5,2022-11-05 15:05:32,Aplikasinya bagus banget makanya sy kasih 5 bintang.,positif,
Mas Eko Channel,5,2022-11-05 15:05:12,Dompet digital yang bagus recomended deh pokoknya,positif,
Hesti Andini,3,2022-11-05 15:04:01,sistem ditingkatkan,netral,
Karsono Hadi,5,2022-11-05 15:04:01,memudahkan transaksi 👍👍,positif,
Ikhsan Aryadi,5,2022-11-05 15:02:42,bermanfaat,positif,
Aldi Yansyah,1,2022-11-05 15:02:31,Hati hati sama aplikasi dana uang saya ke sedot 300ribu tanpa sepengetahuan saya. Saya minta pulang uang saya 300 ribu. Tolong lah di perbaiki lagi. Tanpa sepengetahuan saya uang hilang tanpa memasukan pin uang hilang. Hati hati sama aplikasi ini.,negatif,
Uci Trisnawati,1,2022-11-05 15:02:06,2 kali Topup Berhasil Saldo tidak Bertambah.. Proses pengembalian Belum ad kabarnya.. tolong diperbaiki kembali,negatif,
Net Ayla,5,2022-11-05 15:01:56,Apk nya bagus banget coba sekarang,positif,
Ari wijayanti,5,2022-11-05 15:01:54,sangat baik dgunakan ketika melakukan pembayaran,positif,
Rusly Dj,5,2022-11-05 15:01:36,aplikasinya bagus banget,positif,
kisw anto,5,2022-11-05 15:00:47,Tolong dong untuk dana di upgrade lagi adain fitur cetak struk sama bisa ganti harga jual.. soalnya apk. DANA ini membntu saya untuk usaha (berjualan) maksih.. semoga di respon,negatif,
Kartika Tika,5,2022-11-05 14:58:07,Mantul,positif,
Imam Darmawan,2,2022-11-05 14:57:17,memuaskan,positif,
Farian syah,5,2022-11-05 14:57:13,Semoga dapat menjadi lebih baik lagi,positif,
Andri Ys,5,2022-11-05 14:54:23,Sangat membantu,positif,
Dudi Wahyudin,4,2022-11-05 14:54:04,pas,netral,
Asnawi Husin,5,2022-11-05 14:53:37,oky,netral,
Produksi sawit kuansing,5,2022-11-05 14:53:31,Bintang sudah bicara ternyata Dana sudah meningkat kan kinerja nya semoga sukses,positif,
GERRY BOY,5,2022-11-05 14:52:57,syg kurang bnyak gratis transfer nya,netral,
Haqqi Nazeely,5,2022-11-05 14:51:59,sangat bagus,positif,
Hendri Suhendri,3,2022-11-05 14:51:35,sangat baik,positif,
SIBOY TERLANTAR,5,2022-11-05 14:51:31,good,positif,
Dimas Keppler,5,2022-11-05 14:50:48,Banyak bug gak bisa di pencet,negatif,
Dedy Iskandar,5,2022-11-05 14:50:04,aplikasi sangat baik,positif,
ANNAS ABRORI,5,2022-11-05 14:49:51,Deaf tuli.,netral,
fbr dg,5,2022-11-05 14:49:19,sangat membantu,positif,
Mufti Syahdan Nabil,1,2022-11-05 14:48:22,Rugi banget beli voucher a+rewards google play tapi voucher nya gak bisa di pakai aduuhhhhh udh mencoba lapor ke customer servicenya malah gak di balas....,negatif,
Isma Wati,5,2022-11-05 14:45:15,mantep pake dana tdk ribet,positif,
linda ardianti (linda adrianti),4,2022-11-05 14:43:31,Sekrang lebih sering eror,negatif,
Agus Regal,3,2022-11-05 14:43:28,Selalu sistem sibuk jadi males pakai dana,negatif,
LILI,3,2022-11-05 14:42:58,dana bedanya apa,netral,
Noval,2,2022-11-05 14:38:17,Eh tolong dong gua lupa pin dana nya mau menghubungi juga susah tolong di perbaiki kaya dulu Enak langsung bisa ganti ulang pin sekarang harus menghubungi dulu!,netral,
adam fahri,2,2022-11-05 14:38:10,Dana ini mesti klo di penting eror Mulu heran dah,negatif,
Mas Eko,1,2022-11-05 14:37:15,Apk busuk gak berlaku sekarang juga bayar. Apalgi masuknya aja dipersulit gimana mau jalan tf dah mulai bayar,negatif,
Ren Karen,1,2022-11-05 14:36:47,Kok gk bisa masuk akun saya sih. Gk ada respon nya padahal sinyal bagus. Aku uninstal trs instal lagi tpi sama saja gk mau masuk ke akun ku,negatif,
ᴇᴛᴇʀɴɪᴛʏ,3,2022-11-05 14:36:46,Saya main danapoly dapet dana belance 1x terus pas dapet yang ke dua nya katanya kesempatan sudah habis padahal batas dapet nya 2x saya baru 1 kali mohon antisipasinya,negatif,
mansyur duka dalam cinta,5,2022-11-05 14:36:15,proses cepat & lancar,positif,
Jejen Jaenudin,1,2022-11-05 14:35:50,Sekarang gratis kirim ke bank 5x. miris lur. Bot,negatif,
Achmad Zainul arifin,5,2022-11-05 14:34:29,mantabbbbb,positif,
eligabel gabel,4,2022-11-05 14:34:09,sangt bagus,positif,
giok pratama,1,2022-11-05 14:33:08,Gimana sih gw komplain tapi ga ada respon nya,negatif,
Febryan Febryan,5,2022-11-05 14:32:45,saya suka dengan apk dana ini,positif,
Uye Suyatman,5,2022-11-05 14:32:25,sangat membantu,positif,
Raditya Naufal Dheidan,1,2022-11-05 14:32:09,Kenapa WA Dana Care Setiap mau Chat selalu jawabanya Sedang Pemeliharaan? Mau Pengaduan Lewat Yg Lain Susah Banget Terus Ini yg Terbaru ngadain event gk Jelas Namanya Danapoly Muter2 Ngabisin Danapoint Sekalinya Dapet 50k malah Kesempatan Habis Parah Loh Sekarang Jadi Kayak penipuan,negatif,
koko 99cell,1,2022-11-05 14:31:57,Udah beberapa kali update premium tetep aja gagal agak kecewa sih jadi ga bisa buat transaksi tolonglah min perbaiki lagi ampas emang lah,negatif,
Akli Moch Galih,1,2022-11-05 14:31:17,Pante duid gua dah masuk eh mau ngirim kaga bisa tolol banget apk nya.,negatif,
Dede Bahri,1,2022-11-05 14:31:11,Parah upgrade ny gk bs krm k akun dana tmn gw kecewa parah,negatif,
Sagirah User,4,2022-11-05 14:31:09,saya sangat puas,positif,
rifki tile alghifari,3,2022-11-05 14:28:40,Dana goalnya kadang nggak bisa toling diperbaiki ,negatif,
Wedang Cibodas,1,2022-11-05 14:28:00,Sangat buruk. kenapa baru aja donlot mau login. malah di bekukan akun saya payah. padahal baru ngisi lagi Tolong benerin lagi akun saya,negatif,
Supri Yadi,3,2022-11-05 14:27:31,Buat kirim kirim ke teman gak bisa balik trus ke beranda pdhl udah di perbarui,negatif,
4nr4KU _77,5,2022-11-05 14:27:12,sangat di percaya benar2 nyata. terimakasih. dana... transfer tanpa biaya.. mantab,positif,
Alien_ Gaming,1,2022-11-05 14:27:12,Kok ga bisa temenku transfer di dana  nomer tidak di temukan pdhal ada,negatif,
Andul Rohman,5,2022-11-05 14:26:49,berkualitas,positif,
i Boyyy,1,2022-11-05 14:26:14,ADA EVENT UDAH DAPET GA BISA DICLAIM ANEH BANGET...,negatif,
Sapna Ketapang,5,2022-11-05 14:24:48,Sanggat jelek banget gak ada guna,negatif,
Jaenall Fratama,5,2022-11-05 14:23:47,Kak kenapa gak bisa transaksi apah lagih gangguan,netral,
Arifin Noor,1,2022-11-05 14:22:34,Payah Saya sama sekali tidak pernah menggunakan KTP di akun DANA NAMUN SETELAH SAYA COBA DAFTAR KE AKUN PREMIUM DI TOLAK DENGAN ALASAN KTP SUDAH PERNAH DI PAKAI. JIKA MEMANG SUDAH PERNAH DI PAKAI TOLONG SEBUTKAN NAMA ORANG YANG MEMAKAI KTP SAYA DAN SEBUTKAN NOMOR HANDPHONE AKUN YANG MEMAKAIN KTP ATAS NAMA SAYA. JIKA KALIAN TIDAK BISA MEMBUKTIKAN ARTINYA KEAMANAN AKUN DI APLIKASI DANA INI BOCOR ARTINYA TIDAK AMAN ATAU RAWAN DI CURI DAN PENIPUAN. HATI-HATI YANG SUDAH MENDAFTAR KTP KALIAN.,negatif,
Adi Rockstar,5,2022-11-05 14:22:27,Bagus,positif,
Ahmad Syukur,1,2022-11-05 14:21:57,PARAH BENER PARAH... NGEADAIN EVENT DANA POLY GILIRAN DAPET 50K GA ADA MASUK SALDONYA.. PARAH PARAH PARAHHH MAN!!,negatif,
achmad rey,5,2022-11-05 14:21:37,Saya beli pulsa 25.000 dan 6000 terus kenapa pulsanya belum bisa masuk ya? Tolong respon lebih chat🙏,netral,
ajs sf,1,2022-11-05 14:18:19,Bikin event gaje hadiah ga bisa diclaim,negatif,
Adel Adelia,5,2022-11-05 14:18:16,saya sangat senang dengan aplikasi dana sangat mudah buat bertransaksi apa pun dan di mana pun. maka nya saya lasi bintang 5,positif,
Majwa La fani,5,2022-11-05 14:16:52,merasa puas,positif,
Rini Rismayanti,2,2022-11-05 14:15:19,Sering transaksi tapi tidak dapet poin,netral,
Raza Rey,1,2022-11-05 14:13:34,Sering maintenent gk bisa transfer. Pesan sistem sedang sibuk gimana coba kalau orang bener bener lagi urgent duitnya gk bisa di ambil gara gara maintenent kecewa untuk saat ini,negatif,
Yagami CHANNEL,1,2022-11-05 14:13:16,Udah 3thn pake dana blum muncul danapaylater gimana ni padahal transaksi udh puluhan juta,negatif,
Mochryan27@gmail.com Mochryan,1,2022-11-05 14:13:15,Kok gak bisa TF ya kak knp tadi bisa kak,negatif,
Tundo Hörö,5,2022-11-05 14:13:14,dompet digital terpercaya,positif,
RIOKO SURYA WIJAYA,1,2022-11-05 14:12:05,TOPUP KE ALFAMART KENAPA GANGGUAN MULU,negatif,
Giyanto123 Yanto,5,2022-11-05 14:11:41,allhmdllh bagus puas,positif,
Dimensi Com,5,2022-11-05 14:11:23,mantap,netral,
Achonk Oi,5,2022-11-05 14:10:53,jossss gandosssss,netral,
Antoni Toni,5,2022-11-05 14:10:39,sangat membantu,positif,
Sarmat Oxs,1,2022-11-05 14:10:34,Sangat tidak puas dengan apk dana ini tiba2 gak bisa di buka udh berapa kali di coba tetap aja gk bisa di buka,negatif,
Linda Nurhayati,5,2022-11-05 14:10:29,sangat baik dan membantu,positif,
Sean Cell,1,2022-11-05 14:08:38,ADA MASALAH GA DI RESPON!,negatif,
Tri Aditya,1,2022-11-05 14:08:25,Dana sy kenapa susah dibuka. Sudah 3x verifikasi juga tidak bisa,netral,
Novii,5,2022-11-05 14:08:13,M. A. N. T. A. P,positif,
Widi Susanto,5,2022-11-05 14:08:12,istimewa,positif,
SUGIMIN,5,2022-11-05 14:07:45,oky dana 👍,netral,
Naser Hasen,4,2022-11-05 14:06:53,Ok,netral,
Dini Arwinda,5,2022-11-05 14:06:37,ok,netral,
Yuliana Sm,5,2022-11-05 14:06:31,aplikasi yg sangat bagus mempermudah bertransaksi,positif,
eza ferdinand,1,2022-11-05 14:05:22,Buruk banget support nya di email dan open tiket permasalahan dari hari jumat sampai skrg blm ada update apa apa,negatif,
Choirul Arifin,5,2022-11-05 14:05:15,app sangat membantu,positif,
Anak Pettama,5,2022-11-05 14:04:21,sangat membantu,positif,
fadin Chef pitung Jepara,5,2022-11-05 14:03:29,terimakasih kerja sama nya,positif,
Nadia Rosi,1,2022-11-05 14:02:30,2x komplain gara byr tiket kereta pake QRIS dana  dananya ke potong tp tiketnya ga ada. Sampe 2 kali di komplain ujug diblg masalah selesai pdhl tidak ada penggantian. Iya memang ga seberapa cuma 90rb tp kn bukan masalah nominal tp tanggung jwb. Kapok bgt pake dana,negatif,
Capten Faqoth,1,2022-11-05 14:01:44,Hello to my funds I can't top up 5.000.000,negatif,
Nur Rahmadani,3,2022-11-05 14:01:33,mantap,netral,
Agus Felix,5,2022-11-05 14:00:15,baik banget,positif,
TOPIK HIDAYAT HIDAYAT,5,2022-11-05 13:58:58,Dana premium sangat memudahkan saya untuk bertransaksi bayar tagihan listrik BPJS pulsa data dan kirim antar bank. sekarang lebih mudah lagi dan cepat,positif,
Hengky Suprianto Hengky,3,2022-11-05 13:58:00,Saya mau tanya saya sempat salah transfer saldo ke nomor dana saya yg nomor pertama nomor dana saya saya ganti ke nomor dana saya yang baru Kira-kira uang di nomor dana lama hangus gak ya dan bisa kah nomor dana lama di masukan lagi ke nomor dana..? Maksudnya di kembali kan lagi ke nomor dana pertama,negatif,
Murdhany,5,2022-11-05 13:57:51,Banyak memberi manfaat,positif,
Adhi Soeryanto,1,2022-11-05 13:57:18,Parahnya kebangetan makin di update makin lemot..,negatif,
adi solihin,5,2022-11-05 13:57:16,mudah dan peraktis dalam bertransaksi,positif,
Rais Hermawan,4,2022-11-05 13:57:00,Saya sangat suka pake dana...tapi syg akun kena bajak orang lain..dan sampai saat ini keamanan akun saya blm bisa di perbaiki.,netral,
asari ari,5,2022-11-05 13:56:58,tingkatkan lagi,netral,
Galuh Gibran,4,2022-11-05 13:56:49,bagus aplikasi kasi nya,positif,
Salman Vi,2,2022-11-05 13:56:10,Mau di update ko malah eror,negatif,
Wan Wan,1,2022-11-05 13:53:59,Ini kenapa dah sama dana bentar² sistem sibuk bentar² sistem sibuk ada apa sama dana. Mau narik dana gak bisa transfer gak bisa. Tahan aja terus uang nya,negatif,
basir ya basir,5,2022-11-05 13:53:35,Berbayar yang terbaik,positif,
Ari mei juanda Ari mei juanda,5,2022-11-05 13:53:30,ok,netral,
Dodak Gaming,2,2022-11-05 13:52:05,Sering kali gangguan,negatif,
faris setyanto,5,2022-11-05 13:51:21,Riwayat transaksi mohon bisa diupgrade lagi agar bisa dihapus,negatif,
Nimas Nabila,5,2022-11-05 13:50:38,suka pake aplikasi ini. kirim uang cepet banget,positif,
Ronaldo eka putra,1,2022-11-05 13:50:11,Kok makin susah login nya ya min??,negatif,
moh syibli,5,2022-11-05 13:49:41,Tolong ditambah fitur paylater,negatif,
Osman Ali,5,2022-11-05 13:49:16,Siip,netral,
Dar Yono,4,2022-11-05 13:49:03,sangat cocok digunakan,positif,
Muza Kir,1,2022-11-05 13:48:49,Tolong di perbaiki kenapa stiap mau transfer sistem selalu sibok padahal jaringan bagus,negatif,
